LaLiga TV BAR HD,LaLiga TV BAR HD
M+ Liga de Campeones 3 HD,M+ LCAMPEONES 3 HD SOLO EVENTOS
M+ Liga de Campeones 5,M+LCAMPEON5
M+ Liga de Campeones 6,M+LCAMPEON6
M+ Liga de Campeones 8,M+LCAMPEON8
M+ Liga de Campeones 9,M+LCAMPEON9
M+ Liga de Campeones 10,M+LCAMPEON10
M+ Liga de Campeones 11,M+LCAMPEON11
M+ Liga de Campeones 12,M+LCAMPEON12
M+ Liga de Campeones 13,M+LCAMPEON13
Movistar Plus+ HD,Movistar Plus+ HD
Movistar Plus+ 2 HD,Movistar Plus+2 HD
DAZN F1 HD,DAZN F1 HD
DAZN 1 HD,DAZN 1 HD
DAZN 2 HD,DAZN 2 HD
DAZN 3 HD,DAZN 3 HD
DAZN 4 HD,DAZN 4 HD
Eurosport 1 HD,EUROSPORT 1 HD
Eurosport 2,EUROSPORT2HD
M+ Deportes HD,M+ DEPORTESHD
M+ Deportes 2 HD,M+ DEPORTES2HD  SOLO EVENTOS 
M+ Deportes 3,M+ DEPORTES3 SOLO EVENTOS 
M+ Deportes 4,M+ DEPORTES4 SOLO EVENTOS 
M+ Deportes 5,M+ DEPORTES5 SOLO EVENTOS 
M+ Deportes 6,M+ DEPORTES6 SOLO EVENTOS 
M+ Deportes 7,M+ DEPORTES7 SOLO EVENTOS
M+ Vamos HD,M+  VAMOSHD
GOL PLAY,GOL PLAY
Real Madrid TV,Realmadrid TV HD
Teledeporte,TELEDEPORTE HD
M+ Golf HD,M+ GOLF HD
M+ Golf 2 HD,M+ GOLF 2 HD
Eurosport 2,EUROSPORT 2
FEF TV 1 Grupo 1,FEF TV 1
FEF TV 2 Grupo 1,FEF TV 2
DARK,M+ Dark HD
M+ Cine HD,M+ Cine HD
M+ Indie HD,M+ Indie HD
M+Ficcion Premium
M+ Acción HD,M+ ACCION HD
M+ Ficcional n 2 HD
M+ Comedia HD,M+ COMEDIA HD
M+ Drama HD,M+ DRAMA HD
M+ Cine Español,M+ Cine Espagnol
M+ Clásicos HD,M+ CLASICOS HD
M+ Terror,M+ TERROR
Canal Hollywood HD,HOLLYWOOD
TCM HD,TCM
